date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2015-11-06,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-07,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-08,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-09,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-10,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-11,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-12,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-13,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-14,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-15,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-16,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-17,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-18,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-19,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-20,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-21,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-22,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-23,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-24,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-25,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-26,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-27,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-28,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-29,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-11-30,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-01,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-02,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-03,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-04,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-05,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-06,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-07,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-08,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
2015-12-09,136.90,136.90,16.41,-63.31,200.22,-108.38,-570.90,0.86,"-3,293.14",0.86,200.22
